                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0745,                0.52307,                 1.4753,                0.97407,                0.95158,                0.97993,                0.68683,                 1.1442,                 0.4076,                 1.5941,               0.008416,               0.008416,               0.008416
                     50,                 1.0745,                0.51911,                 1.4713,                0.97456,                0.95229,                0.98009,                0.68616,                 1.1426,                0.40738,                 1.5923,               0.008383,               0.008383,               0.008383
                     51,                 1.0752,                0.51709,                 1.4723,                 0.9742,                0.95263,                0.97953,                0.68668,                 1.1406,                 0.4063,                 1.5908,                0.00835,                0.00835,                0.00835
                     52,                 1.0753,                0.51863,                 1.4757,                0.97524,                 0.9531,                0.97964,                0.68654,                 1.1394,                0.40517,                 1.5895,               0.008317,               0.008317,               0.008317
                     53,                 1.0692,                0.52021,                 1.4723,                0.97585,                0.95216,                0.98006,                0.68588,                 1.1384,                0.40463,                 1.5889,               0.008284,               0.008284,               0.008284
                     54,                 1.0667,                0.51539,                 1.4652,                0.97597,                0.95253,                0.98027,                0.68593,                 1.1367,                0.40383,                 1.5877,               0.008251,               0.008251,               0.008251
                     55,                 1.0654,                0.51225,                 1.4607,                0.97822,                0.95216,                0.98026,                 0.6873,                 1.1356,                0.40361,                 1.5865,               0.008218,               0.008218,               0.008218
                     56,                 1.0692,                 0.5146,                 1.4636,                 0.9788,                 0.9527,                0.98049,                0.68917,                 1.1351,                0.40254,                 1.5856,               0.008185,               0.008185,               0.008185
                     57,                  1.065,                0.51342,                 1.4614,                0.97637,                 0.9531,                0.98041,                0.68894,                 1.1347,                0.40205,                 1.5852,               0.008152,               0.008152,               0.008152
                     58,                 1.0648,                0.51178,                  1.471,                 0.9802,                0.95178,                0.98034,                 0.6888,                 1.1343,                0.40178,                  1.585,               0.008119,               0.008119,               0.008119
                     59,                 1.0632,                0.50849,                 1.4625,                 0.9804,                0.95263,                0.98116,                 0.6887,                  1.134,                0.40131,                 1.5842,               0.008086,               0.008086,               0.008086
                     60,                 1.0558,                 0.5079,                 1.4537,                0.97973,                0.95221,                0.98057,                0.68904,                 1.1341,                0.40067,                  1.584,               0.008053,               0.008053,               0.008053
                     61,                 1.0521,                0.50589,                 1.4525,                0.97974,                0.95289,                0.98016,                0.68986,                 1.1331,                0.40043,                 1.5834,                0.00802,                0.00802,                0.00802
                     62,                 1.0567,                0.50324,                 1.4568,                0.97973,                0.95213,                0.98016,                0.68953,                 1.1321,                0.39989,                 1.5821,               0.007987,               0.007987,               0.007987
                     63,                 1.0576,                0.50547,                 1.4604,                0.97974,                0.95242,                 0.9803,                0.69031,                 1.1311,                0.39929,                 1.5815,               0.007954,               0.007954,               0.007954
                     64,                 1.0539,                0.50023,                 1.4522,                0.97947,                0.95216,                0.98045,                0.69106,                 1.1301,                0.39882,                 1.5807,               0.007921,               0.007921,               0.007921
                     65,                 1.0492,                  0.499,                 1.4525,                0.97887,                0.95216,                0.98058,                 0.6907,                 1.1296,                0.39895,                 1.5804,               0.007888,               0.007888,               0.007888
                     66,                 1.0548,                0.50077,                  1.453,                0.97843,                0.95216,                0.98061,                 0.6914,                 1.1293,                0.39838,                 1.5799,               0.007855,               0.007855,               0.007855
                     67,                 1.0514,                 0.4977,                 1.4485,                0.97926,                0.95216,                0.98047,                0.69122,                 1.1287,                0.39761,                 1.5791,               0.007822,               0.007822,               0.007822
                     68,                 1.0518,                0.49828,                 1.4561,                0.97833,                 0.9531,                 0.9805,                0.69124,                 1.1285,                0.39729,                 1.5786,               0.007789,               0.007789,               0.007789
                     69,                 1.0482,                0.49678,                 1.4506,                0.97829,                0.95263,                0.98054,                0.69158,                 1.1278,                0.39728,                 1.5782,               0.007756,               0.007756,               0.007756
                     70,                 1.0427,                0.49457,                 1.4422,                0.98116,                0.95246,                0.98046,                0.69242,                 1.1277,                0.39679,                 1.5778,               0.007723,               0.007723,               0.007723
